Word,Definition
convalescence,pičksema
convene,terdems puromomo; puromoms
convenience,udobstva
convenient,udobnoj
convention,konferencija;kemekstaź koj
conversation,kortnema
conversion,polavtoma
convert,polavtoms
convey,kandoms
convict,pekstaź lomań
convict,lovoms čumoks
conviction,(law) čumoks lovoma
convince,kemevtems
convincing,kemevticä
convulsion,(eś-ormado) kulsema; (rakamodo) kunst pramo
cook,pidicä-panicä
cook,pidems; pidems-panems; anokstams jarsamopeľ
cooking,pidema-panema
cool,ekše
cool,keľmevtems; ekšelgavtoms
cooperate,tejems vejsëń tev
cooperation,vejsëń tev
cooperative,vejsëń teveń tejicä
coordinate,koordinirovams
coordination,koordinirovamo
cop,policej
copper,piže (metal)
copy,kopija
copy,tejems kopija
coral,koral
cord,piks
core,(umareń) sedej
cork,probka; potomks
corkscrew,(sulikań) panžomka
corn,1. (eat) (Am) kukuruza 2. (Brit) šuž
corner,užo; ugol
coronation,(ineazoroń) kaštazoń putoma
corporal,(military) kapral
corporation,(company) akcionerëń vejsëndävks
corpse,ulov
correct,vide
correction,vitnema
correspond,vejke-vejke jonov molems
correspondence,vejke-vejkeneń śormaleź
correspondent,korespondent
corresponding,karšoks; koräzonzo ašticä
corridor,kolidor; koridor
corrupt,koleź
corruption,kolema
cost,pitne
cost,stäms; pitnezë; aštems
costly,pitnev; pitnej
costume,kosťum
cottage,kudïne
cotton,hlopok
cough,koz
cough,kozoms
council,prävtkuro
counsel,prevsputoma
counsellor,prevsputïcä
count,1. lovovoms 2. lovoms
counter,(window) mikšnema ezem
counterfeit,faľsificirovaź
counterfeit,faľšivka
counterfeit,faľsificirovams
countless,pevteme; apak lovo
country,1. (land) mastor 2. (nation) mastor; raśke
coup,mastorso vlasteń neľgema
couple,(two) kavtoška
courage,apelemači
courageous,apelicä
course,kurs
court,(law) sud
court of law,sud
courtesy,meleń vanomači
courthouse,sudoń kudo
courtroom,sudoń nupaľ
courtyard,kardaz
cousin,sïre lelänť-patänť ejkakšozo
cover,veľtävks; veľks; lango
cover,veľtäms
cow,skal
coward,pelicä; numolosedej
coyote,kojot
crab,krab
crack,lazks
cracker,??hlopuška
cradle,lavś
craftsman,masterovoj
crafty,jožov
cramp,targatoma
crane,(machine) kran
crash,(mašinaso) eškevema; avarija
crater,krater
crave,prevs ledems
crawl,jutams nile piľge langso
crazy,prevstë liseź
cream,veľks; vels
create,tejems; škams
creation,tejema; škamo;tejevks; škavks
creative,tejicä; škicä
creature,rakša; pazoń čačovks
credentials,pačport; końovt
credibility,kemeviksči
credit,kredit
cremate,pultams (ulov)
cremation,(ulovoń) pultamo
crescent,tarvaz (kovdo)
crew,(venčsë) komanda
crib,(for a baby) lavś
cricket,1. ciŕkun 2. (nalksema) kriket
crime,beräń tev
criminal,pristupnik; beräń teveń tejicä
cripple,invalid
crisis,krizis
critical,staka; säldïcä
criticism,kritika
criticize,maksoms kritika; säldoms
crocodile,krokodil
crooked,(shape) kičkere
crop,(harvest) čačoma; urožaj
cross,kŕost
crossing,jutamo tarka
crossroads,kiuloso jutamo tarka
crouch,landäms
crow,varaka
crowd,tolpa; lomań pusmo
crowded,tïc; peškse
crown,(ineazoroń) kaštaz
cruel,kazämo; kežej
cruise,inevenčsë ujema
cruise,ujems inevenčsë
cruiser,krejser
crumb,pamoŕks
crusade,vijsë (kememas) sovavtoma
crust,(bread) kuvo
crutch,kostïľ
cry,(call) seŕgedema
cry,1. (weep) avardems 2. seŕgedems
crystal,krustaľ
cuckoo clock,kuko marto čast
cucumber,kujar
culprit,čumo (lomań)
cult,kuľt
cultivate,(crop) videms-sokams
cultural,kuľturań
culture,kuľtura
cup,čakške
cupboard,škap
cure,ormameńks
cure,1. pičkavtoms; menstäms orma 2. (tuvoń sïveľde) suvodems- kačakavtoms; saltoms (iläzo naksado)
curiosity,ľubopïtstva; sodams bažamo
curious,sodams bažicä; ľubopïtnoj
currency,vaľuta
current,nejeń škań. tečiń
current,(water) čudelma
currently,nejeń škane
curse,śudoma
curse,śudoms
curtain,šaršav
curve,mendävks; meńks
cushion,todov
custody,keď-alo kirdemači
custom,koj
customary,kojeń koräs
customer,ramicä; klijent
customs,tomažennoj
cut,kerävks
cut,keräms
cutting board,veďlaz
cycle,(series) ciklä
cylinder,cilindra
cyst,puzïŕ (rungoso); kasovks
Canada,Kanada
Canadian,Kanadań
Canadian,Kanadań lomań
Catholic,katolikeń
Catholic,katolik
China,Kitaj mastor
Chinese,Kitajeń
Chinese,Kitajeń lomań
Christ,Kristos
Christian,kristianka; Kristosnëń kemicä
Christianity,kristianstva
Christmas,roštuva; roštova
Christmas present,roštova kazne
dad,tetä
daddy,teťka
dagger,kinžal
daily,eŕva čiń
dairy,lovsoń-ojeń zavod
dam,śolt (mejsë vedeń čudemaś lotkavtovi)
damage,zïjan
damp,leťke
dance,kištema
dance,kištems
dancer,kišticä
danger,zïjando pelemači
dangerous,zïjan kandïks
dark,čopoda
darken,čopolgadoms
darkness,čopodači
data,sodamoči; informacija
date,(time) či (aravtoź)
dative,dativ
daughter,tejteŕ (kińgak)
daughter-in-law,uŕva
dawn,čiń lisema; ašolgadoma
dawn,lisems činstëń
day,či
dead,kuloź
deadly,kulovtïcä
deaf,amaricä; pilevteme
deal,ve meľs samo
dealings,vastnevema
dean,(school) dekan
dear,večkeviks
death,kuloma
debate,peľkstamo
debate,peľkstams
debris,lijadkst
debt,dolg
decade,kemeń ijeť
decay,naksadoma
decay,naksadoms
deceased,kulïcä
deceit,mančema
deceitful,mančicä
deceive,manäms (kemezë avoľ istä)
decency,priličija
decent,priličnoj; ladicä
deception,manämo
deceptive,manicäń
decide,1. prams ve meľs 2. sajems meľ
decision,ve meľs pramo
deck,venč kijaks; čuvtoń apak veľtä kijaks
declaration,deklaracija
declare,jovtams; viďkstams
decline,alamolgadoma; kaladoma
decline,1. (fall) kaladoms 2. (refuse) otkazovams
decode,kodsto čaŕkodeviksëks tejems
decontaminate,urädoms avańksčinť
decorate,naräžams; mazïlgavtoms
decoration,mazïlgavtoma; mazïlgavtomka
decrease,alamolgadoms
dedicate,altams (something to someone mezeńgak kineńgak)
dedication,altamo; altavks
deduct,sajems (from kosto)
deduction,(thought) ve meľs pramo (ve lomande)
deed,(document) (asajeviks uliparoń) dokument; końov
deep,domka; sërej
deep,vasov
deer,idemseja
deface,amazïlgavtoms
default,apak sakšno kadoma
default,kadoms apak pando
defeat,iznävoma
defeat,iznävoms
defect,asatïks
defective,asatïksëv
defence,idema (mezeńgak) kisë lisema; aštema
defend,idems; aštems mezeń kisë
defendant,čumondoź lomań (sudso)
defensive,(kiń) kisë ašticä
defer,ajgems; šaštoms (mejles)
deference,potamo (lijań lezës)
defiance,karšomolema
deficiency,(lack) araź; asatïks
deficit,deficit; asatstovks
define,čaŕkodevtems; tolkovams
definite,sodaź; maksoź
definitely,apak kavtoldo
definition,čaŕkodevtema
deformed,kolavks
defraud,manäms (jarmak)
degrading,viźks sovavtïcä
degree,(temperature) gradus
delay,targsema ška
delegate,delegat
delegation,delegacija
deliberate,arseź; arseń
deliberately,arseź
delicate,avoľ nalksemań
delicious,pek tantej
delightful,kecävtïcä
deliver,pačtems
delivery,pačtema
demand,vešema; karmavtoma
demand,vešems; karmavtoms
demanding,lamo vešicä
democracy,demokratija
democratic,demokratijań
demon,idemevś
demonstrate,1. nevtems (koda) 2. nevtems meľ
demonstration,teveń tejemań nevtema
demote,valgstoms; alkińgavtoms
den,(animal) pizë
denial,ve meľ apramo; peľkstamo
denounce,säldoms
dense,tusto
dent,potmov praź tarka
dentist,pejeń vrač
deny,peľkstams; molems karšo
depart,tujems (kostojak)
department,1. javks 2. kafedra
department store,univermag
departure,tujema
depend,aštems (mezestëjak)
dependable,kemeviks
dependence,(mezdejak) aštemači
dependent,(mezdejak) ašticä
deploy,sradoms; sravtoms
deport,uskoms mastorsto
deportation,mastorsto uskoma / panema
deposit,(bank) (jarmakoń) putoma
deposit,(bank) putoms (jarmak)
depot,vokzal; stancija
depression,(mental) nusmakadoma
deprive,a maksoms
depth,domkači
descendant,ejkakšbijo
describe,jovtnems (kiń-buti); nevtems valso
description,nevtema; jovtnema
desert,čovarpaksä
desert,orgodems (tevstë; armijasto)
desertion,(armijasto) orgodema
deserve,ulems dostojnoj
design,dizajn; čertävks
design,tejems plan
designate,nevtems; kočkams
designer,dizajnëń tejicä
desire,pravtoma; pokš meľ
desire,mel(et)ь + ulems; mel(et)ь molems (mezeń) kis
desk,parta; stoľ; stuvor
desolate,aojmavtoviks
despair,sedej neže araźči
despair,araś sedej neže
desperate,sedej neževteme
despise,seľms nejems a večkems
despite,kadïk
dessert,(jarsamodo mejle) lambamopeľ
destination,(journey) kmlangoń pe
destiny,ucäska
destitute,uliparovtomo; jarmaktomo
destroy,kalavtoms; kolams; putoms pe
destroyer,(ship) eskadronnoj minonosec
destruction,kalavtoma
detach,javoms
detachable,javoviks
detail,detaľ
detailed,??prevejstë aravtoź
detain,kirdema
detect,maräms
detection,marämo
detective,detektiv
detention,kirdema
deter,(prevent) kardams
detergent,muśkemapeľ
determination,apotamoči
determine,1. rešams 2. ve meľs prams
determined,apotïcä
detonate,kiŕvaztems (bomba)
detour,peŕkaki
devaluation,apitnejgadoma
devalue,apitnejgavtoms
devastate,jažams-tapams
develop,kasoms-kepedems; kastoma-kepedema
development,kasoma-kepedema; kastoma-kepedema
deviate,javoms lijatneń ejstë
deviation,lijatneń ejstë javoma
device,apparat
devil,idemevś; šajtän
devise,arsems; ladäms
devote,putoms ojme
devotion,ojmeń putoma
dew,rosa; valskeń leťke
diabetes,diabet
diabetic,diabetikeń
diagnose,tejems diagnoz
diagnosis,diagnoz
diagram,diagramma
dial,disk (telephone; radio telefonoń; radioń)
dialect,kortavks; dialekt
dialogue,dialog
diameter,diametra; čačkonks
diamond,almaz
diaper,teťkemeť
diarrhea,pskizema
diary,dnevnik
dice,nogot
dictate,lovnoms diktant
dictation,diktant
dictator,diktator
dictatorship,diktatura
dictionary,valks
die,kuloms
diet,dijeta
difference,javovoma
difficult,staka (tev)
difficulty,stakači
dig,čuvnoms
digest,solams (peksë jarsamopeľ)
digestion,(jarsamopeleń) solamo
dignity,čamači; dostojinstva
dilemma,staka kočkamo
diligence,meleń putoma
diligent,meleń; vijeń putïcä
dilute,vecakavtoms; vedijavtoms
dimension,kuvalmot-keleť; onks
dine,jarsams
dining room,jarsamo nupaľ / kudo
dinner,čokšnëń jarsamo
dinosaur,dinosavr
dip,navtams
diploma,diploma
diplomat,diplomat
direct,vidstë(ń)
direct,vetäms
direction,jonks
directions,(use) tevs noldamoso śormadovks
director,dilektor; direktor
directory,katelog
dirt,moda
dirty,rudazov; rudaz potso
disability,važodems amaštovomači
disabled,važodems amaštoviks
disadvantage,stakači
disagree,a prams ve meľs (on something mezeń koräskak)
disagreement,ve meľs apramo
disappear,jomatoms
disappearance,jomamo
disappoint,kolams meľsparo (someone kińgak meľsparonzo)
disappointing,meľsparoń kolïcä
disappointment,meľparoń kolamo
disapproval,avadräks lovoma / putoma
disapprove,lovoms avadräks / ajonks
disarm,sajems lednemapeľť
disarmament,lednemapeleń jortoma
disaster,katastrofa
disastrous,katasrofań kondämo
disband,lotkavtms; putoms pe (vejsëndavksonteń)
disbelief,akemema
disc,disk
discharge,(medical) navolot-nolgat
discharge,noldams (armijasto)
disciple,(Isusoń) tonavtnicä
discipline,disciplina
disclose,livtems langs
disclosure,langs livtema
disco,diskoteka
discomfort,ajonksči
disconnect,keräms
discontinue,lotkams
discount,viškalgavtoź pitne
discourage,merems aštemede
discover,panžoms; mujems
discovery,panžovks; mujevks
discreet,viźksčamas asovavtïcä; taktov
discrepancy,avejkeťksči
discretion,takt
discriminate,??lepštäms (against somebody )
discrimination,??lepštämo
discuss,kortnems (something mezdejak)
discussion,kortnema
disease,orma
disgrace,viźksčama
disgraceful,viźksčamań
disguise,asodaviksëks oršams-naräžams
disgust,meľsatujema; nulgodema
disgusting,meľsatujicä; uksnomań kepsevticä; nulgoďks
dish,vakan; keďgeť-vakant; keďge
dishonest,avideojme
dishwasher,posudań šlämo mašina
disk,disk
dislocate,tarkastonzo lisems (ezne)
dismantle,kalavtoms peľksëń-peľks
dismiss,1. noldams (molems) 2. panems
dismissal,(važodema tarkasto) panema
disobedience,akunsoloma
disobedient,akunsolïcä
disobey,a kunsoloms
disorder,luvoń-ladoń kolamoči
disperse,sradoms
displace,aravtoms avoľ eś tarkava
display,nevtema; nevtelma
display,nevtems
disprove,nevtems (mezejak) avideks
dispute,peľkstamo
dispute,peľkstams
disrespectful,lomańks aputïcä
disrupt,javoms tevstë; ecems kiń jutks
disruption,lotkavtoma
dissatisfied,meleń apak vite
dissolve,1. solams 2. solavtoms
distance,1. vasolks 2. jutko
distant,1. vasolce 2. vasoldoń 3. vasoloń
distinction,javovoma
distinguish,javoms (vejke lijatneń ejstë)
distract,javoms tevstë
distraction,tevstë javoma
distress,kažoči
distribute,javšems
distribution,javšema
district,buje; jonks
distrust,akemema
distrust,a kemems
disturb,mešams; javoms tevstë
disturbance,luvsto lisnema
ditch,(čuvoź) kanal
dive,čopavtoms (veds)
diver,čopavtnicä
diverse,eŕva kodamo
diversion,1. lijav vetämo 2. škań jutavtoma
divert,lijav vetäms
divide,javoms (something mezejak)
division,1. javoks 2. javoma
divorce,javoma
divorce,javoms (a couple mirdť-niť)
dizzy,präzo čarakadś
do,tejems
dock,venčeń lotksema tarka; pristań
doctor,(medical) ormamensticä; vrač
document,dokument; pasport; końov
dog,kiska; pine
doll,näka
dolphin,deľfin
domestic,1. kudo(ń) (animal rakša) 2. kudojutkoń (work tevť)
dominant,(mezeń) langso pokš
dominate,ulems pokšoks (langso)
donate,kaznems
donation,kazne
donkey,išme; ośol
door,kenkš
dormitory,vejsëń erämo kudo; obštežitije
dosage,doza
double,kavonzaź
double-decker,kavto etažoso bus
doubt,kavtoldoma
doubt,kavtoldoms; a kemems
doubtful,kavtoldovicä
dough,1. čapaks 2. jarmak (sleng)
dove,guľka
down,(off a bird narmuneń) puh
down,alov
downfall,(crash) kaladoma
downstairs,alo etažso; alo etažos
downstream,alov vedť; vedeń čudemanť meľga
downtown,oš kunška
dowry,pridanka
dozen,ďužina
drag,uskoms (mastorga)
dragon,ineguj
dragonfly,salmukssalï
drain,(water) čudevtema; (vedeń) noldamo
drain,čudevtems; noldams veď
drama,drama
drastic,kruta
draw,(write) artoms; risovams
drawing,artovks; risovavks
dream,on
dream,onsto nejems
dress,platija
dress,oršams
dressing,(medical) ranań taparavks
drill,burav
drill,pelems (buravso)
drink,simemapeľ
drink,simems
drip,petnävks
drip,petnäms
drive,1. panems (stada) 2. vetäms (mašina)
driver,mašinań veticä
driving licence,vetämo pravat
drop,1. prams 2. pravtoms
drought,kośke ije; kośke ška
drown,1. vajams (kuloms) 2. vajavtoms
drug,ormameńks
druggist,aptekaŕ; ormameńksteji
drugstore,apteka; ormameńkskudo
drum,baraban
drummer,barabanštik
drunk,iredeź; iredstë
dry,kośke
dry,1. kośkems 2. kostäms
dryness,kośkeči
duchess,??gercoginä
duck,jaksärgo; šenže
dumb,(stupid) prevteme
dune,ďuna
dungeon,pekstamo tarka; ťurma
dunk,navoms
duplicate,kopija
duplicate,tejems kopija
duplication,kopijań tejema
durability,cidärdoma
durable,cidärdïcä
duration,kuvalmo
during,pingstë
dusk,sundeŕks
dust,puľ
dusty,pulev
duty,1. (obligation) tonavtovicä tev 2. (tax) kajavks
dye,artomapeľ
dye,artoms
dynamo,dinamo
December,acamkov; acamokov; kemkavtovoce kov
each,eŕva
each other,vejke-vejke
eager,meleń putoź tejicä
eagle,kućkan; tumoatäkš
ear,pile
earlobe,pilepote
early,1. valske martoń 2. škado ikeleń
earn,teveń koräs polučams
earring,pileks
earth,moda; mastor
earthquake,modasoradks; modasornoma
ease,šoždači
east,čilisema; čilisema jonks
eastern,čilesemań
eastwards,čilisemav
easy,šožda
eat,1. (process) jarsams 2. (completed action) sëvems
echo,vajgeľsuľť; kajte
eclipse,1. čiń jomamo 2. kovoń jomamo
ecology,ekologija
economic,ekonomijań
economy,ekonomija
edge,čire
edit,tejems redakcija
editor,redaktor
educate,tonavtoms-kastoms
education,tonavtnema
eel,gujkal
effect,mejleks; savks
effective,effektivnoj; vijev
efficiency,effektivnosť
efficient,effektivnoj
effort,vijeń putoma
egg,(narmuneń; gujeń; kaloń) al
eight,kavkso
eighteen,kemgavksovo
eighth,kavksoce
eighty,kavksońgemeń
eject,jortoms
elaborate,detaľ marto
elbow,kenere pakaŕ
elder,pokš
elder,(person) pokš
elect,kočkams
election,kočkamot
electric,elektrikań; električeskoj
electricity,tol; električestva
elegance,elegantnosť
elegant,elegantnoj
element,element
elephant,slon
elevation,sëŕ
elevator,lift
eleven,kevejkeje
eligible,kočkaviks
eliminate,nardams; jortoms
else,lija
elude,orgolems
elusive,orgolicä
embargo,embargo
embark,sovams (venčs; meneľ venčs)
embarrass,vizdelgavtoms
embarrassing,vizdelgavtïcä
embarrassment,vizdelgadoma
embassy,kučolks kudo; posoľstva
embezzle,salams (firmaso važodicä)
emblem,emblema
embrace,kutmordams
embryo,embrion; čačiks
emerge,lisems
emergency,zïjan; avarija
emigrant,mastorkadï
emigrate,kadoms mastoronť
emigration,mastorkadoma
emotion,jožomarämo
emotional,jožomarämoń
emperor,ineazor
emphasis,teškstamo
emphasize,teškstams
empire,inäzormastor
employ,sajems važodeme
employee,važodicä
employer,teveń maksïcä
employment,teveń maksoma
empty,čavo
empty,čamdoms
enable,lezdams
encircle,sajems kiŕkss
enclose,sovavtoms; putoms (pots)
enclosure,(land) pirävks
encounter,vanstoma
encounter,vastoms
encourage,merems (tejemede)
encouragement,(tejemede) merema
end,pe; maštoma
endanger,sovavtoms; zïjando pelemači
endeavour,bažamo; snartnema
endless,pevteme
endorse,(approve) pškadems (mezeń) kisë
endorsement,1. (approval) (mezeń) kisë pškadema 2. (check) (čeks) kedeń putoma
endurance,kirdema; cidärdoma
endure,cidärdoms; kirdems
enemy,jat; dušman
energy,energija
enforce,topavtoms
engagement,(marry) ladämo
engine,motor
engineer,inžeńor
engrave,gravirovams
enjoy,paro meľsë (+ tejemaval)
enjoyable,meľsparoń kandïcä
enjoyment,meľsparo
enlarge,pokšolgavtoms
enlargement,pokšolgavtoma
enormous,pokštojak pokš
enough,satïška
enrol,śormadstoms prä (školav)
enrolment,präń śormadstoma
ensure,kemekstams
enter,sovams
entertain,meľ vitems
entertainment,meleń vitema
enthusiasm,meleń putomači
enthusiastic,meleń putïcä
entire,vese; cela
entirely,ovse; tuń
entrance,sovamo tarka
entry,sovamo
envelope,śormalangaks; konvert
envious,seľmtne sijadïť
environment,perťpeľks
envy,seľmeń sijadoma; seľmeń sävadoma.― v.
epidemic,kezov
equal,vejkeť
equality,vejkeťksči
equally,vejketstë
equator,ekvator
equip,jorams
equipment,oborudovanija
equivalent,vejketstë ašticä
erase,nardams
eraser,nardamo rezina
erect,stävtoms; putoms
error,iľvedevks
erupt,sezevems; purgsems (tolpando)
eruption,sezevema
escalate,kelemems; kirvazems
escape,orgodema
escape,orgodems
escort,??iľti lomanť
escort,iľtems
especially,vesemede pek
espionage,esponaž
essential,eräviks
establish,putoms luv; putoms jur
establishment,institucija
estimate,putoms pitne
eternal,pingede-pingeń
eternity,pingede-pingeń erämo
etiquette,präń vetämo luv
evacuate,čamdoms (lomande)
evacuation,(lomande) čamdoma
evade,orgolems
evaluate,putoms pitnejči
evaporate,solams (košts vedte)
evasion,orgolema
evasive,orgolicä
even,vejkeť
even,natoj; mik; -gak...
evening,pokšnë
event,ulevks
eventful,lamo tev marto
eventual,mejleń; sï škań
eventually,mejle ansäk
ever,zärdojak
every,eŕva
everybody,eŕvataś
everything,eŕvaś
everywhere,eŕva koso
evict,kšuvavtoms (kvarterasto); panems
eviction,kšuvavtoma
evidence,čumondomapeľ
evil,aparo; amazïń
evolution,evoľucija
exact,točnoj
exactly,cär; cäk
exaggerate,pokšsto nevtems; pokšolgavtoms
exaggeration,pokšolgavtoma
examination,ekzam
examine,vannoms
example,nevtevks; primer
excavate,targams; čuvnoms-vitnems
excavation,targamo; čuvnoma-vitnema
exceed,(tejems lijań koräs sede pek)
excellence,ejparoči
excellent,ejparo
except,baška
exception,baška jonks
exceptional,pek paro
excess,lamoči
excessive,lamo; lišnoj
exchange,polavtoma
exchange,polavtoms
excite,kecijavtoms
excited,kecävtoź
excitement,kecämoči
exciting,kecävtïcä
exclude,a sajems lijatneń marto
exclusion,baška kadoma; ve jonov kadoma
exclusive,ansäk zärïjań arseź
excursion,nuŕkine kilango
excusable,noldaviks (čumo)
excuse,tuval (meks eź teje...)
excuse,1. noldams čumo 2. noldams (moleme)
execute,(kill) istožams
execution,istožamo
executive,topavtïcäń
exempt,oläkstomtoź (pandomado)
exemption,(pandomado) oläkstomtoma
exercise,(sport) zarädka
exercise,tejems zarädka
exhaust,(fumes) mašinasto lisi(cä) gaz
exhaust,(use) jutavtoms pes
exhausted,(tired) sizeź
exhausting,sizevticä
exhaustion,sizevtema
exhibit,nevtems
exhibition,nevtelma; nevtema
exile,mastorsto panema
exist,ulems; eräms
existence,ulema
exit,lisema kenkš; lisema tarka
exit,lisems
exotic,ekzotičeskoj
expand,kastoms; pokšolgavtoms
expansion,kasoma
expect,učoms
expectation,učomači
expedition,ekspedicija
expel,panems (školasto)
expenditure,jarmakoń jutavtoma
expense,pitne
expensive,pitnej
experience,opït; tonadkst
experiment,eksperiment
expert,tev sodï; tevs čaŕkodicä
expiration,srok
expire,srokoś jutams
explain,čaŕkodevtems
explanation,čaŕkodevtema
explode,sezems
exploitation,ekspluatirovamo
exploration,od jonksoń-tarkań panžoma
explore,panžoms od jonkst-tarkat
explorer,od jonksoń panžicä
explosion,sezevema
explosive,sezevicä
explosive,sezemapeľ
export,eksport; mastorsto uskoma
export,eksportirovams; uskoms mastorsto
exporter,eksportir; mastorsto uskicä
expose,štavtoms; livtems langs
exposure,štavtoma langs livtema
express,(act) jovtams; nevtems
expression,(phrase) valmerevks
extend,poladoms; kelejgavtoms
extension,(telephone) poladks nomer
extensive,kelej
extent,satstoma
exterior,ušojonks
exterminate,kulovtoms (tarakant-mezť)
extermination,kulovtoma
external,ušoń
extra,ekstrennoj
extraordinary,ekstrennoj
extreme,ve pe ašticä
extremely,pek-pek
eye,seľme
eyebrow,seľmečiŕke
eyelash,seľmepona
eyelid,seľmekeŕ
eyewitness,seľmenejicä
Easter,Ineči
Europe,evropa; Evropa
European,evropań; Evropań
European,evropań lomań
fable,fabula
fabric,koct
fabulous,jovksoń kondämo
face,čama; čačo
facing,(across) karšo
fact,fakta
factory,zavod
faculty,1. tonavtïcät 2. maštomači
fade,olaskadoms
fail,1. prams 2. sävordoms
failure,iznävoma
faint,lavšo
faint,jomavtoms jožo
fair,(good) apak mańčeń
fair,(fun) jarmunka
fairy,feja
fairytale,jovks
faith,(trust) kemema
faithful,kemeviks
fake,avoľ alkuksoń
fake,tejems (-ks)
falcon,kaval
fall,(season) śoks
fall,1. prams 2. sävordoms
false,avide
fame,sodaviksči
familiar,sodaviks
family,kudoraśke
famine,vačoči
famous,pek sodaviks
fan,(person) fanat
fanatic,fanatikeń
fang,(pupoma) pej
fantastic,fantastičeskoj
fantasy,fantazija
far,vasolce; vasoloń
far,vasolo
fare,pandomka
farewell,iľtema
farm,ferma; hutor
farmer,fermer
farmhouse,hutor; kudo
farming,videma-sokamo
farmland,sokams moda
farther,sede tov; sede vasov
fascinating,meleń javovtïcä
fascination,meleń javomači
fascism,fašizma
fascist,fašist
fashion,moda (oršamoń)
fast,erej; eräza; bojka
fast,post
fast,kirdems post
fast,erejstë; eräzasto; bojkasto
fasten,sodoms
fat,kujav
fat,(substance) kuja
fatal,kulomań
fate,ucäska (part-beränť)
father,tetä
father-in-law,1. (wife's father) vata 2. (husband's father) tetävt
fatigue,sizema
fatty,ojev; kujav
faucet,kran
fault,(defect) asatïks; kolavks
favor,paro (pandoms)
favor,lovoms (lijań koräs) vadräks
favorable,paro; meľstujicä
favorite,večkema (vasence)
fawn,idemsejań levks
fear,pelema
fearless,pelemavtomo; pelema araś
feasible,tejeviks; kemeviks
feast,pokš či; kenärks či
feat,tev
feather,tolga
feature,(quality) jonks
federal,federacijań
federation,federacija
fee,kajavks
feeble,lavšo
feed,andomapeľ; korom
feed,andoms
feel,maräms
feeling,jožamarämo
fellowship,jalga jutko
female,ava sïmeń; avaka
female,tejteŕ-ava
feminine,(grammar) avasïmeń
fence,pirävt
fender,bufer
ferry,parom
fertile,norov
fertilize,naźomijavtoms; navozïjavtoms (field paksä)
fertilizer,naźom; udobrenija
festival,festivaľ
feud,kežej-verev peľkstamo
fever,temperatura
few,alamo
fewer,sede alamo
fiance,aluž
fiancee,aluž
fiber,sëľge
fiberglass,sëľgesulika
fictitious,avoľ alkuksoń; arseń
fiddle,garzi
fiddler,garzisë sedi
fidelity,(polań turtov) kemeviks
fidget,talnoms; pizämoms
field,paksä
fierce,kežej
fifteen,keveteje
fifth,vetejece
fifty,veteńkemeń
fig,inžir
fight,ťurema
fight,ťurems
fighter,1. ťuricä 2. (aircraft) istrebiteľ
figure,1. (number) cifra 2. (shape) figura
file,(tool) podpilka
filing cabinet,arhivškap
fill,peštems
filling,plomba
film,1. (coating) keľkš 2. (movie) kino
filter,surtämka; fiľter
filter,surtäms; pedäms
filth,rudaz
filthy,rudazov; rudaz potso
fin,(kaloń) śolmo
finally,okojniki; mejeľceks
finance,finans
finance,finansirovams
financial,finansoń
find,mujems
fine,(good) vadrä
fine,(penalty) štraf
fine,pandovtoms štraf
finger,sur
fingernail,kenže (suroń)
fingerprint,sur ki
finish,prädoms; prädovoms; vesijams
fire,tol
fire alarm,kirvi toldo signal
fireman,tolmadsti; požarnoj
fireplace,toloń tejema tarka; tolbandä
fireworks,fejerverk
firm,keme
first,1. vaseń 2. vasence
fish,kal
fish,kundsems kal; uľmams
fisherman,kaloń kundïcä
fishing,kaloń kundamo
fishing boat,kaloń kundamo venč
fishing line,leska
fishing pole,uľma
fist,mokšna
fit,(object) ladäms; molems
fitness,šumbrači
fitting,1. standardnoj peľks 2. ladämo
five,vete
fix,vitnems-petnems
fixture,ve tarkaso ašticä peľks
flag,flag
flame,tolkeľ
flap,klapan
flare,raketka; signal
flash,kivčkadema
flashlight,fonarik
flat,lapuža
flat,(home; apartment) kvartera; fatera
flatten,lapužkavtoms
flatter,seľms šnams
flavor,tansť; rast
flavoring,tansteń maksoma
flaw,asatïks
flawless,šumbra; cela
flea,čučaka; čičaj
flee,orgodems
fleece,(sheep) revelango
fleet,morflot
flesh,1. keď; kiśke 2. sïveľ
flexible,jolganä; mendäviks
flight,1. (joroplanso) rejs 2. livtämo
float,1. ujems 2. ujevtems
flood,čado; čadïveď
floor,kijaks; mastorks
floor board,mastorkslaz
florist,cecämikšni
flour,počt; tov
flow,čudems
flower,cecä; pančt
flower pot,cecäčakš
flu,gripp
fluctuate,polavtnems
fluctuation,polavtnema
fluent,paro; teke peštť čulgoni
fluid,leťke
fluid,leťke
flute,flejta
fly,karvo
fly,livtäms
fog,suv
foggy,suvov
fold,mendäms
folder,papka
folk,lomanť
folklore,foľklor
folks,tetät-avat
follow,molems (kińgak) meľga
following,1. omboce 2. sede mejle
fond,1. meľstujicä (ledstämo) 2. večkicä
food,jarsamopeľ
food poisoning,(jarsamopeľde) otravamo
fool,prevteme; čavola
foot,1. piľge (lapa) 2. piľge pe (of the bed udoma tarkań)
footprint,piľge ki
for,1. turtov 2. kisë; meľga; -s 3. -neń
forbid,kardams; a merems (from doing tejemado)
forbidden,kardaź
force,vij
forceful,vijsë
forearm,kedsejeŕks; kedeŕks
forecast,ikelev jovtamo
forehead,konä
foreign,lomań; lija mastoroń
